step,episode_reward,episode_length
195,180.29766845703125,3.0
196,138.26303100585938,3.0
197,155.8569793701172,3.0
198,67.90515899658203,3.0
199,50.00444793701172,3.0
200,59.47632598876953,3.0
201,130.71080017089844,3.0
202,134.78221130371094,3.0
203,50.991397857666016,3.0
204,89.83379364013672,3.0
205,45.5942268371582,3.0
206,95.3069839477539,3.0
207,104.32152557373047,3.0
208,68.02216339111328,3.0
209,160.93983459472656,3.0
210,66.14754486083984,3.0
211,58.75416946411133,3.0
212,95.6519775390625,3.0
213,95.27623748779297,3.0
214,167.37620544433594,3.0
215,62.891807556152344,3.0
216,68.90963745117188,3.0
217,14.60011100769043,3.0
218,26.324153900146484,3.0
219,25.094186782836914,2.0
220,111.20039367675781,3.0
221,98.1925048828125,3.0
222,104.20475769042969,3.0
223,105.23016357421875,2.0
224,67.9649887084961,3.0
225,98.42650604248047,3.0
226,66.5539779663086,3.0
227,130.09841918945312,2.0
228,39.52582931518555,3.0
229,56.54735565185547,3.0
230,62.800819396972656,3.0
231,104.67034912109375,3.0
232,42.689491271972656,2.0
233,18.170454025268555,2.0
234,77.0738754272461,3.0
235,62.59229278564453,3.0
236,37.31684112548828,2.0
237,57.75094985961914,2.0
238,67.23062133789062,3.0
239,59.08740234375,3.0
240,29.492393493652344,3.0
241,38.27939987182617,3.0
242,50.49300765991211,3.0
243,169.25888061523438,3.0
244,92.20866394042969,3.0
245,86.4412841796875,3.0
246,124.93535614013672,3.0
247,60.358882904052734,3.0
248,120.94625854492188,3.0
249,64.25711059570312,3.0
250,6.032434463500977,2.0
251,52.75729751586914,3.0
252,44.852352142333984,3.0
253,42.63893508911133,3.0
254,53.58611297607422,3.0
255,45.03247833251953,3.0
256,47.379966735839844,3.0
257,67.62095642089844,3.0
258,114.20826721191406,3.0
259,30.465633392333984,2.0
260,86.95240020751953,3.0
261,65.48387145996094,3.0
262,87.61515808105469,3.0
263,61.17018127441406,3.0
264,42.41587448120117,3.0
265,59.14432907104492,3.0
266,53.63560485839844,2.0
267,50.02463912963867,2.0
268,210.28228759765625,3.0
269,48.956729888916016,3.0
270,98.2276611328125,3.0
271,61.90171432495117,3.0
272,58.86967086791992,2.0
273,106.43822479248047,3.0
274,59.964778900146484,3.0
275,181.3709716796875,3.0
276,65.19208526611328,3.0
277,136.41928100585938,4.0
278,87.25025939941406,3.0
279,90.55828094482422,3.0
280,106.8722152709961,3.0
281,59.62102127075195,3.0
282,84.48362731933594,3.0
283,42.854270935058594,3.0
284,61.815673828125,3.0
285,104.70714569091797,3.0
286,67.21147155761719,3.0
287,55.741268157958984,3.0
288,103.31694030761719,3.0
289,87.00404357910156,3.0
290,85.53926849365234,3.0
291,159.47256469726562,3.0
292,145.94259643554688,3.0
293,155.61126708984375,3.0
294,62.284568786621094,3.0
295,102.75505828857422,3.0
296,27.5540771484375,3.0
297,93.91988372802734,3.0
298,142.08660888671875,3.0
299,61.49618911743164,3.0
300,45.08339309692383,3.0
301,188.24896240234375,3.0
302,64.38221740722656,3.0
303,31.257844924926758,3.0
304,61.250343322753906,3.0
305,58.57868194580078,3.0
306,93.12309265136719,2.0
307,113.59996795654297,3.0
308,35.747962951660156,3.0
309,64.42156982421875,3.0
310,78.19568634033203,3.0
311,172.58132934570312,3.0
312,29.310176849365234,3.0
313,22.79441261291504,3.0
314,125.44615936279297,3.0
315,136.05288696289062,3.0
316,87.86251831054688,3.0
317,89.06682586669922,3.0
318,64.74994659423828,3.0
319,51.86154556274414,2.0
320,62.90393829345703,3.0
321,87.6579818725586,3.0
322,58.8302001953125,3.0
323,98.49315643310547,3.0
324,24.836322784423828,3.0
325,39.52644348144531,3.0
326,40.81985092163086,2.0
327,164.44503784179688,3.0
328,107.6362533569336,3.0
329,21.5543270111084,2.0
330,118.93637084960938,2.0
331,38.312835693359375,2.0
332,86.19231414794922,2.0
333,10.126303672790527,2.0
334,127.0022201538086,3.0
335,129.2322540283203,3.0
336,50.848819732666016,3.0
337,85.95293426513672,3.0
338,92.41798400878906,3.0
339,62.56202697753906,3.0
340,127.45499420166016,3.0
341,123.2260513305664,3.0
342,89.21080017089844,3.0
343,108.93773651123047,3.0
344,39.1860237121582,2.0
345,120.56204223632812,3.0
346,121.98442077636719,3.0
347,37.177433013916016,3.0
348,85.02328491210938,3.0
349,51.807491302490234,3.0
350,85.91975402832031,3.0
351,57.46858596801758,3.0
352,40.97401809692383,3.0
353,96.56228637695312,3.0
354,41.37717056274414,3.0
355,4.0124287605285645,2.0
356,138.8306121826172,3.0
